#LINK,,,,,,,,,,,,,,,,,,,,,,,,,,
#file_name,fukutetsu_unchin,,,,,,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,,,,,,,
#attribution_name,fukuishi,,,,,,,,,,,,,,,,,,,,,,,,,
#property,行き先,0　たけふ新,1　北府,2　スポーツ公園,3　家久,4　サンドーム西,5　西鯖江,6　西山公園,7　水落,8　神明,9　鳥羽中,10　三十八社,11　泰澄の里,12　浅水,13　ﾊｰﾓﾆｰﾎｰﾙ,14　清明,15　江端,16　ベル前,17　花堂,18　赤十字前,19　商工会議所前,20　足羽山公園口,21　福井城址大名町,22　福井駅,23　仁愛女子高校,24　田原町
#object_type_xsd,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
#property_context,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion
1,1　北府,210,,,,,,,,,,,,,,,,,,,,,,,,
2,2　スポーツ公園,210,210,,,,,,,,,,,,,,,,,,,,,,,
3,3　家久,260,210,210,,,,,,,,,,,,,,,,,,,,,,
4,4　サンドーム西,260,260,260,210,,,,,,,,,,,,,,,,,,,,,
5,5　西鯖江,310,310,260,260,210,,,,,,,,,,,,,,,,,,,,
6,6　西山公園,310,310,310,260,210,210 ,,,,,,,,,,,,,,,,,,,
7,7　水落,340,340,310,310,260,210 ,210 ,,,,,,,,,,,,,,,,,,
8,8　神明,390,340,340,340,310,260 ,260 ,210 ,,,,,,,,,,,,,,,,,
9,9　鳥羽中,390,390,340,340,310,310 ,260 ,260 ,210 ,,,,,,,,,,,,,,,,
10,10　三十八社,420,420,390,390,340,310 ,310 ,260 ,260 ,210 ,,,,,,,,,,,,,,,
11,11　泰澄の里,420,420,420,390,340,340 ,310 ,310 ,260 ,260 ,210 ,,,,,,,,,,,,,,
12,12　浅水,430,430,420,420,390,340 ,340 ,310 ,310 ,260 ,260 ,210 ,,,,,,,,,,,,,
13,13　ﾊｰﾓﾆｰﾎｰﾙ,430,430,430,420,390,390 ,340 ,340 ,310 ,310 ,260 ,210 ,210 ,,,,,,,,,,,,
14,14　清明,440,440,430,430,420,390 ,390 ,340 ,340 ,310 ,260 ,260 ,210 ,210 ,,,,,,,,,,,
15,15　江端,440,440,430,430,420,420 ,390 ,390 ,340 ,310 ,310 ,260 ,260 ,210 ,210 ,,,,,,,,,,
16,16　ベル前,450,440,440,430,420,420 ,420 ,390 ,340 ,340 ,310 ,260 ,260 ,260 ,210 ,210 ,,,,,,,,,
17,17　花堂,450,450,440,440,430,420 ,420 ,390 ,390 ,340 ,310 ,310 ,260 ,260 ,210 ,210 ,210 ,,,,,,,,
18,18　赤十字前,450,450,450,440,430,430 ,420 ,420 ,390 ,390 ,340 ,310 ,310 ,260 ,260 ,260 ,210 ,210 ,,,,,,,
19,19　商工会議所前,470,470,470,470,470,450 ,450 ,450 ,450 ,450 ,410 ,390 ,390 ,320 ,320 ,320 ,270 ,270 ,210 ,,,,,,
20,20　足羽山公園口,450,450,450,450,450,430 ,430 ,430 ,430 ,430 ,400 ,370 ,370 ,310 ,310 ,310 ,260 ,260 ,210 ,180 ,,,,,
21,21　福井城址大名町,450,450,450,450,450,430 ,430 ,430 ,430 ,430 ,400 ,370 ,370 ,310 ,310 ,310 ,260 ,260 ,210 ,180 ,180 ,,,,
22,22　福井駅,450,450,450,450,450,430 ,430 ,430 ,430 ,430 ,400 ,370 ,370 ,310 ,310 ,310 ,260 ,260 ,210 ,180 ,180 ,180 ,,,
23,23　仁愛女子高校,450,450,450,450,450,430 ,430 ,430 ,430 ,430 ,400 ,370 ,370 ,310 ,310 ,310 ,260 ,260 ,210 ,180 ,180 ,180 ,180 ,,
24,24　田原町,450,450,450,450,450,430 ,430 ,430 ,430 ,430 ,400 ,370 ,370 ,310 ,310 ,310 ,260 ,260 ,210 ,180 ,180 ,180 ,180 ,180 ,
